X,Y,R,T,long
-2.53432e-09,-1.0914e-11,2.48112e-09,-179.754,440
-2.49476e-09,-7.50339e-12,2.44087e-09,-179.838,439
-2.44951e-09,-4.5475e-12,2.39608e-09,-179.898,438
-2.40199e-09,-9.09502e-13,2.34765e-09,-179.982,437
-2.33537e-09,1.819e-12,2.28103e-09,179.952,436
-2.26875e-09,5.00225e-12,2.21418e-09,179.868,435
-2.20099e-09,6.59386e-12,2.14619e-09,179.826,434
-2.12619e-09,8.41288e-12,2.07116e-09,179.766,433
-2.04933e-09,1.00045e-11,1.99454e-09,179.712,432
-1.97089e-09,1.00045e-11,1.91586e-09,179.706,431
-1.89586e-09,9.32238e-12,1.8406e-09,179.718,430
-1.81627e-09,8.41288e-12,1.76124e-09,179.73,429
-1.73487e-09,6.82124e-12,1.67984e-09,179.772,428
-1.65779e-09,4.32013e-12,1.60299e-09,179.844,427
-1.58071e-09,1.819e-12,1.52568e-09,179.934,426
-1.50477e-09,-2.27375e-13,1.44974e-09,-179.994,425
-1.43428e-09,-3.63801e-12,1.37971e-09,-179.856,424
-1.36402e-09,-6.36649e-12,1.30922e-09,-179.736,423
-1.29467e-09,-8.86763e-12,1.2401e-09,-179.61,422
-1.22942e-09,-1.06866e-11,1.17507e-09,-179.502,421
-1.16757e-09,-1.29604e-11,1.11323e-09,-179.358,420
